Year,Month,Min Temp,Max Temp,Avg Temp
2003,1,6.0,23.1,14.6
2003,2,8.9,27.7,18.3
2003,3,20.0,43.3,31.7
2003,4,30.5,52.0,41.3
2003,5,43.4,64.3,53.8
2003,6,52.5,72.8,62.7
2003,7,57.6,78.7,68.1
2003,8,59.0,79.1,69.1
2003,9,50.4,70.6,60.5
2003,10,36.3,56.1,46.2
2003,11,31.9,49.1,40.5
2003,12,19.4,35.6,27.5
