Date,Value,Anomaly
201610,50.5,2.5
201611,40.2,3.9
201612,27.6,3.1
201701,27.9,8.1
201702,30.6,9.9
201703,28.2,-2.4
201704,48.8,6.0
201705,54.0,-0.5
201706,64.0,0.6
201707,68.1,-0.1
201708,65.6,-0.4
201709,62.3,3.4
201710,54.8,6.8
201711,36.2,-0.1
201712,22.6,-1.9
201801,19.1,-0.7
201802,29.4,8.7
201803,29.9,-0.7
201804,37.8,-5.0
201805,60.0,5.5
201806,63.4,0.0
201807,71.2,3.0
201808,70.4,4.4
201809,63.6,4.7
201810,47.7,-0.3
201811,33.3,-3.0
201812,28.5,4.0
201901,19.4,-0.4
201902,24.2,3.5
201903,29.5,-1.1
201904,44.5,1.7
201905,54.2,-0.3
201906,62.9,-0.5
201907,71.0,2.8
201908,66.6,0.6
201909,60.3,1.4
201910,50.2,2.2
201911,32.8,-3.5
201912,27.3,2.8
202001,27.7,7.9
202002,26.6,5.9
202003,37.2,6.6
202004,41.1,-1.7
202005,54.2,-0.3
202006,65.2,1.8
202007,72.9,4.7
202008,68.6,2.6
202009,59.6,0.7
202010,49.0,1.0
202011,41.9,5.6
202012,29.8,5.3
202101,24.0,4.2
202102,21.7,1.0
202103,35.0,4.4
202104,45.7,2.9
202105,54.7,0.2
202106,67.1,3.7
202107,67.7,-0.5
202108,70.4,4.4
202109,61.7,2.8
202110,54.8,6.8
202111,37.0,0.7
202112,32.8,8.3
202201,15.8,-4.0
202202,23.8,3.1
202203,33.8,3.2
202204,43.8,1.0
202205,58.6,4.1
202206,63.8,0.4
202207,69.7,1.5
202208,70.0,4.0
202209,60.5,1.6
202210,48.9,0.9
202211,41.0,4.7
202212,29.0,4.5
202301,30.5,10.7
202302,28.1,7.4
202303,32.6,2.0
202304,48.0,5.2
202305,53.8,-0.7
202306,63.1,-0.3
202307,70.7,2.5
202308,65.8,-0.2
202309,61.7,2.8
202310,53.0,5.0
202311,36.1,-0.2
202312,34.9,10.4
