Year,Month,Min Temp,Max Temp,Avg Temp
2008,1,17.7,34.0,25.9
2008,2,14.8,32.2,23.5
2008,3,19.6,39.0,29.3
2008,4,35.5,61.3,48.4
2008,5,39.6,63.8,51.7
2008,6,56.2,77.1,66.6
2008,7,58.7,79.5,69.1
2008,8,54.2,75.4,64.8
2008,9,50.1,71.4,60.7
2008,10,35.7,57.1,46.4
2008,11,29.0,43.8,36.4
2008,12,18.0,35.1,26.5
