Year,Month,Min Temp,Max Temp,Avg Temp
1993,1,16.5,32.1,24.3
1993,2,3.4,26.5,14.9
1993,3,17.5,37.7,27.6
1993,4,33.8,54.5,44.2
1993,5,43.0,67.4,55.2
1993,6,51.2,73.6,62.4
1993,7,58.6,80.5,69.6
1993,8,56.7,78.8,67.8
1993,9,48.0,67.2,57.6
1993,10,35.3,56.0,45.6
1993,11,27.8,44.9,36.4
1993,12,16.7,32.3,24.5
