Entity,Code,Year,Annual CO2 emissions including land-use change,Annual CO2 emissions from land-use change,Annual CO2 emissions,Continent
China,CHN,2020,11743429000.0,829416260.0,10914012000.0,Asia
United States,USA,2020,4829357600.0,114729256.0,4714628000.0,North America
India,IND,2020,2494395000.0,72842664.0,2421552000.0,Asia
Russia,RUS,2020,1906014700.0,273085440.0,1632929300.0,Europe
Japan,JPN,2020,1041450240.0,1654332.6,1039795900.0,Asia
Iran,IRN,2020,666420600.0,-12586609.0,679007200.0,Asia
Germany,DEU,2020,638599230.0,-8653049.0,647252300.0,Europe
Saudi Arabia,SAU,2020,614441600.0,3668689.8,610772900.0,Asia
Indonesia,IDN,2020,1442075100.0,836090600.0,605984600.0,Asia
South Korea,KOR,2020,591512800.0,-6121444.5,597634300.0,Asia
