Entity,Code,Year,Annual CO2 emissions including land-use change,Annual CO2 emissions from land-use change,Annual CO2 emissions,Continent
China,CHN,2021,12240529000.0,904296300.0,11336233000.0,Asia
United States,USA,2021,5159808500.0,127595576.0,5032213000.0,North America
India,IND,2021,2725703200.0,51481324.0,2674221800.0,Asia
Russia,RUS,2021,2009503000.0,297509570.0,1711993300.0,Europe
Japan,JPN,2021,1065054300.0,2925007.8,1062129300.0,Asia
Iran,IRN,2021,674845760.0,-13230557.0,688076300.0,Asia
Germany,DEU,2021,670440900.0,-8358024.0,678798900.0,Europe
Saudi Arabia,SAU,2021,635291300.0,3854015.0,631437300.0,Asia
South Korea,KOR,2021,609633860.0,-6441165.5,616075000.0,Asia
Indonesia,IDN,2021,1504479700.0,888556300.0,615923400.0,Asia
