Entity,Annual CO₂ emissions (per capita)
Qatar,88.1340559
Curacao,59.69842139999999
Trinidad and Tobago,57.4473604
Kuwait,54.90190319999999
United Arab Emirates,48.521249999999995
Bahrain,47.1978196
Brunei,41.40222049999999
Luxembourg,38.532085
Saudi Arabia,35.5649967
United States,35.10483845
Australia,35.0730985
Sint Maarten (Dutch part),34.9556678
Aruba,34.170900599999996
Canada,32.4935201
Oman,31.173083050000002
New Caledonia,30.136058700000007
Kazakhstan,28.481977300000004
Faroe Islands,27.200135
Estonia,24.529159290000003
South Korea,23.493778499999998
Palau,23.4918386
Taiwan,23.412521149999996
Russia,22.687126900000003
Turkmenistan,21.538584049999994
Czechia,21.4885725
Greenland,21.25948395
Saint Pierre and Miquelon,21.239230900000003
Iceland,21.079806549999997
Finland,19.619686299999998
Belgium,19.57980241
Netherlands,19.50064042
Germany,19.46022924
Japan,19.041370849999996
Ireland,18.203746519999992
Anguilla,18.187758940000002
Libya,18.05214601
Bermuda,17.803183920000002
Singapore,17.743703039999996
Norway,17.546096770000002
Turks and Caicos Islands,17.08714435
Mongolia,16.8439993
Poland,16.816111550000002
South Africa,16.801247010000004
Austria,16.39307288
Israel,16.28343255
Greece,16.03913905
New Zealand,15.812388399999998
Montserrat,15.715726249999998
Denmark,15.280898639999998
Slovenia,14.858514069999998
Iran,14.822843760000001
Malaysia,14.72145127
United Kingdom,14.559589059999999
Slovakia,13.801331780000003
Italy,13.69725225
British Virgin Islands,13.481108120000002
Cyprus,13.301929190000001
Andorra,12.983612760000003
China,12.86706978
Antigua and Barbuda,12.77645266
Bulgaria,12.743296190000002
Serbia,12.651403610000001
Spain,12.637677920000002
Belarus,12.43003071
Barbados,12.34387302
Ukraine,11.79725138
Hong Kong,11.40145886
France,11.350244810000001
Bahamas,11.225005940000003
Bosnia and Herzegovina,10.85223719
Equatorial Guinea,10.453623990000002
Hungary,10.35945912
Portugal,10.29818588
Switzerland,10.264578520000002
Malta,10.12072574
Liechtenstein,10.033115269999998
Seychelles,9.966861269999997
Venezuela,9.881626040000004
Sweden,9.773660959999999
Saint Kitts and Nevis,9.44384886
Croatia,9.359484410000002
Nauru,9.28165713
Turkey,9.147597599999997
Lithuania,8.87116734
Romania,8.698974240000002
Suriname,8.652662020000001
Chile,8.587345000000001
Argentina,8.52042855
Cook Islands,8.5035256
Mexico,8.156984820000002
Bonaire Sint Eustatius and Saba,8.015187310000002
Lebanon,7.942873610000001
Uzbekistan,7.81614796
Iraq,7.612703770000001
North Macedonia,7.51664155
Latvia,7.41930344
Thailand,7.25464381
Algeria,7.2277416
Azerbaijan,7.062173279999999
Kosovo,6.978354507400001
Montenegro,6.90646961
Niue,6.82622399
Gabon,6.476276390000001
Jamaica,6.26970655
Mauritius,6.114690830000001
French Polynesia,5.9358346
Guyana,5.74932954
Jordan,5.68404542
Maldives,5.61009768
Marshall Islands,5.49281387
Saint Lucia,5.30132925
Panama,4.957704110000001
Tunisia,4.94940446
Macao,4.945214310000001
Botswana,4.79047729
Cuba,4.67358974
Ecuador,4.61953375
Egypt,4.584531510000001
Dominica,4.5759481399999995
Grenada,4.555030490000001
Saint Helena,4.543723829999999
Brazil,4.48965774
Dominican Republic,4.3460947899999995
Saint Vincent and the Grenadines,4.269289140000001
Syria,4.25194466
Georgia,4.193806527
Vietnam,4.1285941600000005
North Korea,4.099780103999999
Wallis and Futuna,4.0342544
Uruguay,4.033285770000001
Indonesia,3.8661303300000007
Armenia,3.6411013600000004
Colombia,3.4548639000000008
Morocco,3.3022155
Albania,3.2518911399999992
Belize,3.17118775
Bolivia,3.16562217
Costa Rica,3.1653246999999998
India,2.98983389
Moldova,2.8793966000000006
Peru,2.8659632299999998
Namibia,2.8267688000000004
Kyrgyzstan,2.8206753900000003
Laos,2.59203058
Fiji,2.5168224369999996
Tonga,2.4742786949999998
Micronesia (country),2.4552053969999994
Congo,2.29832355
Lesotho,2.247916111
Bhutan,2.2151028010000005
El Salvador,2.133240655
Tuvalu,2.0800491200000004
Honduras,2.0368885239999996
Samoa,2.027192641
Philippines,2.026212334
Paraguay,1.9315191649999996
Cape Verde,1.8935173060000003
Eswatini,1.8765369610000004
Guatemala,1.850645777
Pakistan,1.6625888679999996
Angola,1.6247698339999999
Nicaragua,1.5814873110000005
Sri Lanka,1.5460992300000003
Papua New Guinea,1.503421291
Yemen,1.477505209
Zimbabwe,1.461608923
Mauritania,1.3581638570000003
Nigeria,1.260506314
Palestine,1.2258000279999999
Senegal,1.163611637
Sao Tome and Principe,1.153596338
Tajikistan,1.1377482899999998
Cambodia,1.116315098
Solomon Islands,1.065903511
Kiribati,0.9772836049999999
Benin,0.9727029169999998
Vanuatu,0.9599082920000003
Djibouti,0.931181147
Sudan,0.8992860109999998
Ghana,0.864352892
East Timor,0.8641731909999999
Bangladesh,0.8261658860000001
Cote d'Ivoire,0.7678765069999999
Cameroon,0.75703678
Myanmar,0.754575695
Kenya,0.6464486469999999
Zambia,0.592505092
Togo,0.589108785
Comoros,0.5862158129999999
Nepal,0.5439970885
Guinea,0.48277056599999996
Afghanistan,0.471432325
Gambia,0.462377355
Haiti,0.456543456
Eritrea,0.37918793399999995
Mali,0.3694198074
Tanzania,0.34880087309999996
Mozambique,0.3451264824
Burkina Faso,0.33168935749999995
Liberia,0.331150589
Guinea-Bissau,0.308083872
South Sudan,0.284901596
Chad,0.25156952990000003
Madagascar,0.2354344135
Sierra Leone,0.23222635470000003
Uganda,0.21292097029999998
Ethiopia,0.21049380050000002
Niger,0.1703731059
Rwanda,0.1531367897
Malawi,0.15155067519999998
Somalia,0.09489923930000001
Central African Republic,0.0842528646
Democratic Republic of Congo,0.0832928781
Burundi,0.0757474868
