Entity,Annual CO₂ emissions (per capita)
Senegal,0.681471815
Palestine,0.656360109
Sao Tome and Principe,0.64898925
Nigeria,0.6104141720000001
Benin,0.563085877
Vanuatu,0.560104413
Ghana,0.5183813899999999
East Timor,0.514323753
Bangladesh,0.5115998609999999
Kiribati,0.5088959030000001
Myanmar,0.5080150750000001
Sudan,0.4953244710000001
Yemen,0.489624014
Solomon Islands,0.470813842
Cote d'Ivoire,0.430775811
Djibouti,0.41379764900000005
Nepal,0.40820581999999994
Cameroon,0.38413016899999997
Kenya,0.383071962
Zambia,0.381573535
Comoros,0.361675912
Afghanistan,0.289730341
Guinea,0.270133434
Togo,0.26782119299999996
Gambia,0.25853676099999995
Haiti,0.257435858
Mali,0.244879986
Mozambique,0.23989436600000005
Burkina Faso,0.223028024
Tanzania,0.209326486
Eritrea,0.17685420300000002
South Sudan,0.15635859
Guinea-Bissau,0.156064588
Liberia,0.15458911999999997
Chad,0.151078399
Madagascar,0.141431252
Sierra Leone,0.1394317546
Ethiopia,0.1379997165
Uganda,0.12484407910000002
Niger,0.10833959089999998
Rwanda,0.09508700540000001
Malawi,0.0820840597
Burundi,0.0487002076
Democratic Republic of Congo,0.042605364500000006
Somalia,0.0421931727
Central African Republic,0.0388786876
