Entity,Annual CO₂ emissions (per capita)
Qatar,37.5320548
Trinidad and Tobago,27.2169582
Curacao,24.737763699999995
United Arab Emirates,24.331476100000003
Bahrain,24.1150187
Kuwait,24.0285283
Brunei,21.6197215
Saudi Arabia,18.996617599999997
New Caledonia,18.026443500000003
Sint Maarten (Dutch part),16.6707787
Australia,16.30308
United States,15.859547849999998
Luxembourg,15.336567500000001
Oman,15.284439500000001
Canada,15.2283668
Kazakhstan,14.92909625
Faroe Islands,13.5965953
South Korea,12.3143597
Palau,12.096025
Taiwan,11.789225550000001
Mongolia,11.55996589
Russia,11.4695474
Estonia,11.41711264
Turkmenistan,10.9600101
Saint Pierre and Miquelon,10.680410400000001
Iceland,10.126316899999999
Greenland,9.769365350000001
Czechia,9.73353295
Japan,9.181799250000001
Germany,9.03952664
Anguilla,8.9386394
Netherlands,8.86210557
Bermuda,8.856409370000002
Libya,8.74909881
Singapore,8.628019839999999
Belgium,8.56079976
Turks and Caicos Islands,8.381153999999999
Aruba,8.3386441
Poland,8.32073115
Norway,8.23047122
Malaysia,7.999166960000001
Ireland,7.919135770000001
Finland,7.9182127
Iran,7.86984874
South Africa,7.78875486
Austria,7.52231622
China,7.404649470000001
New Zealand,7.2887652
Israel,7.090865849999998
Montserrat,6.762417999999999
Slovenia,6.60466392
Antigua and Barbuda,6.55396214
Greece,6.4813123500000005
Slovakia,6.32303854
Belarus,6.2838309699999995
British Virgin Islands,6.22119007
Bulgaria,6.15776412
Bosnia and Herzegovina,6.051683130000001
Andorra,5.930805039999999
Denmark,5.8964785399999995
Serbia,5.88789911
Cyprus,5.86158369
United Kingdom,5.855426210000001
Italy,5.7868528900000005
Bahamas,5.612830389999999
Barbados,5.570433769999999
Seychelles,5.47745186
Spain,5.375022539999999
Hong Kong,5.371256709999999
Ukraine,5.07890964
France,5.010153019999999
Suriname,4.95938587
Turkey,4.95623576
Saint Kitts and Nevis,4.91009144
Hungary,4.78876144
Kosovo,4.7227960200000005
Portugal,4.604332219999999
Lithuania,4.59297649
Equatorial Guinea,4.54791885
Chile,4.52426723
Nauru,4.49139232
Switzerland,4.474284580000001
Cook Islands,4.405196340000001
Croatia,4.26915437
Niue,4.26182239
Argentina,4.208488239999999
Lebanon,4.18474199
Venezuela,4.1222584499999995
Sweden,4.1091477
Bonaire Sint Eustatius and Saba,4.09494317
Iraq,4.07789141
Liechtenstein,4.07528067
Algeria,3.9781627
Romania,3.9323875799999994
Thailand,3.8965517
Mexico,3.879243170000001
Latvia,3.73562729
Malta,3.61466546
Montenegro,3.56360017
Azerbaijan,3.54493954
Uzbekistan,3.4145109800000006
North Macedonia,3.40770457
Guyana,3.3443775200000005
Mauritius,3.2806492
Maldives,3.23574726
Marshall Islands,3.1599000400000006
French Polynesia,2.91813096
Vietnam,2.80067765
Gabon,2.7822045199999996
Saint Lucia,2.73519491
Panama,2.7139218000000005
Jamaica,2.6957491599999996
Botswana,2.67454818
Georgia,2.6705440099999995
Tunisia,2.6313437
Saint Helena,2.52490989
Jordan,2.4495084499999997
Grenada,2.42190943
Brazil,2.3887800999999995
Ecuador,2.35349787
Egypt,2.3376421499999998
Dominica,2.2894131
Dominican Republic,2.2449545300000002
Laos,2.2388803200000003
Saint Vincent and the Grenadines,2.23124798
Cuba,2.18534762
Indonesia,2.18478478
Armenia,2.10457576
Macao,2.08763657
Wallis and Futuna,2.0735007600000004
Uruguay,2.02490881
Colombia,1.9260115499999997
Bolivia,1.80437018
India,1.78424702
Morocco,1.75888323
Albania,1.7585070999999999
Peru,1.64783298
Belize,1.6233899700000003
Moldova,1.6164556399999999
North Korea,1.614465234
Namibia,1.59200927
Kyrgyzstan,1.57211048
Costa Rica,1.53332018
Bhutan,1.5279372
Syria,1.4429400799999998
Tonga,1.38312974
Fiji,1.3398146500000003
Micronesia (country),1.2977248500000003
Congo,1.1903192800000002
Philippines,1.18323709
Paraguay,1.1506969200000001
Samoa,1.1242086
Lesotho,1.11169188
El Salvador,1.070501315
Honduras,1.0486089239999998
Guatemala,1.022125154
Tuvalu,1.00674438
Eswatini,0.9255865340000001
Cape Verde,0.919547991
Sri Lanka,0.914533051
Pakistan,0.8747968129999999
Cambodia,0.8412783559999999
Mauritania,0.803556062
Nicaragua,0.793035265
Tajikistan,0.778866864
Papua New Guinea,0.7727937230000002
Angola,0.713326619
Zimbabwe,0.6864970429999999
