Entity,Code,Year,Annual CO2 emissions including land-use change,Annual CO2 emissions from land-use change,Annual CO2 emissions,Continent
China,CHN,2015,10242954000.0,376002340.0,9866952000.0,Asia
United States,USA,2015,5402494000.0,26020886.0,5376473000.0,North America
India,IND,2015,2386867700.0,152648320.0,2234219500.0,Asia
Russia,RUS,2015,2040581800.0,401906460.0,1638675300.0,Europe
Japan,JPN,2015,1218841900.0,-4326744.0,1223168600.0,Asia
Germany,DEU,2015,790941100.0,-7143590.5,798084740.0,Europe
Saudi Arabia,SAU,2015,680356200.0,1506966.5,678849300.0,Asia
South Korea,KOR,2015,629238100.0,-4939182.0,634177300.0,Asia
Iran,IRN,2015,607995600.0,-23585608.0,631581200.0,Asia
Canada,CAN,2015,718217860.0,147537440.0,570680400.0,North America
