Entity,Code,Year,Annual CO2 emissions including land-use change,Annual CO2 emissions from land-use change,Annual CO2 emissions,Continent
China,CHN,2017,10472554000.0,461403140.0,10011151000.0,Asia
United States,USA,2017,5357279700.0,145117550.0,5212162000.0,North America
India,IND,2017,2547877600.0,121270700.0,2426606800.0,Asia
Russia,RUS,2017,2099360300.0,433238980.0,1666121200.0,Europe
Japan,JPN,2017,1184881800.0,-1920558.8,1186802300.0,Asia
Germany,DEU,2017,781652860.0,-4333010.0,785985860.0,Europe
Iran,IRN,2017,661289150.0,-24112124.0,685401300.0,Asia
Saudi Arabia,SAU,2017,684530600.0,3676641.0,680853950.0,Asia
South Korea,KOR,2017,649466500.0,-5070793.0,654537300.0,Asia
Canada,CAN,2017,721879600.0,155227700.0,566651900.0,North America
