Entity,Code,Year,Annual CO2 emissions including land-use change,Annual CO2 emissions from land-use change,Annual CO2 emissions,Continent
China,CHN,2018,11050448000.0,696513540.0,10353934000.0,Asia
United States,USA,2018,5486095000.0,108297544.0,5377797000.0,North America
India,IND,2018,2718080300.0,125022424.0,2593057800.0,Asia
Russia,RUS,2018,2158138400.0,445643970.0,1712494300.0,Europe
Japan,JPN,2018,1140845700.0,-823190.9,1141668900.0,Asia
Germany,DEU,2018,745749100.0,-9062024.0,754811140.0,Europe
Iran,IRN,2018,706720640.0,-3494173.5,710214800.0,Asia
Saudi Arabia,SAU,2018,690383100.0,3486772.2,686896300.0,Asia
South Korea,KOR,2018,664408800.0,-5759881.5,670168700.0,Asia
Indonesia,IDN,2018,1114337000.0,520235680.0,594101400.0,Asia
