Entity,Code,Year,Annual CO2 emissions including land-use change,Annual CO2 emissions from land-use change,Annual CO2 emissions,Continent
China,CHN,2014,10441911000.0,443236960.0,9998674000.0,Asia
United States,USA,2014,5575057000.0,46375908.0,5528681000.0,North America
India,IND,2014,2247754500.0,99410696.0,2148343800.0,Asia
Russia,RUS,2014,1736803100.0,96843920.0,1639959200.0,Europe
Japan,JPN,2014,1258506100.0,-5565872.5,1264072000.0,Asia
Germany,DEU,2014,788546050.0,-6192453.5,794738500.0,Europe
Iran,IRN,2014,607201300.0,-25471982.0,632673300.0,Asia
South Korea,KOR,2014,624948000.0,-4418491.0,629366460.0,Asia
Saudi Arabia,SAU,2014,616671600.0,3829686.2,612841900.0,Asia
Canada,CAN,2014,698927400.0,132574390.0,566353000.0,North America
