Entity,Year,Total_CO2_emissions,Continent
Sierra Leone,2000,271136.0,Africa
Singapore,2000,48394110.0,Asia
Sint Maarten (Dutch part),2000,552525.0,North America
Slovakia,2000,41138784.0,Europe
Slovenia,2000,15053848.0,Europe
Solomon Islands,2000,223504.0,Oceania
Somalia,2000,476320.0,Africa
South Africa,2000,378306880.0,Africa
South Korea,2000,439980670.0,Asia
South Sudan,2000,459821.0,Africa
Spain,2000,310071230.0,Europe
Sri Lanka,2000,10134099.0,Asia
Sudan,2000,5276282.0,Africa
Suriname,2000,2192347.0,South America
Sweden,2000,54930064.0,Europe
Switzerland,2000,43614184.0,Europe
Syria,2000,54171076.0,Asia
Taiwan,2000,226900000.0,Asia
Tajikistan,2000,2233862.0,Asia
Tanzania,2000,2571821.0,Africa
Thailand,2000,167352140.0,Asia
Togo,2000,1331372.0,Africa
Tonga,2000,95264.0,Oceania
Trinidad and Tobago,2000,24366292.0,North America
Tunisia,2000,19554614.0,Africa
Turkey,2000,229936660.0,Asia
Turkmenistan,2000,39361496.0,Asia
Turks and Caicos Islands,2000,109920.0,North America
Tuvalu,2000,7328.0,Oceania
Uganda,2000,1360870.0,Africa
Ukraine,2000,285674200.0,Europe
United Arab Emirates,2000,111813100.0,Asia
United Kingdom,2000,569033660.0,Europe
United States,2000,6010135600.0,North America
Uruguay,2000,5268017.0,South America
Uzbekistan,2000,123477320.0,Asia
Vanuatu,2000,87936.0,Oceania
Venezuela,2000,142834900.0,South America
Vietnam,2000,53935468.0,Asia
Wallis and Futuna,2000,25648.0,Oceania
Yemen,2000,15725321.0,Asia
Zambia,2000,1784113.0,Africa
Zimbabwe,2000,13818202.0,Africa
