Entity,Year,Total_CO2_emissions,Continent
Afghanistan,2020,11888066.0,Asia
Albania,2020,5018921.0,Europe
Algeria,2020,169892770.0,Africa
Andorra,2020,373728.0,Europe
Angola,2020,16764786.0,Africa
Anguilla,2020,142896.0,North America
Antigua and Barbuda,2020,619216.0,North America
Argentina,2020,166879580.0,South America
Armenia,2020,6799022.0,Asia
Aruba,2020,890352.0,South America
Australia,2020,396685200.0,Oceania
Austria,2020,62121252.0,Europe
Azerbaijan,2020,36149228.0,Asia
Bahamas,2020,2183744.0,North America
Bahrain,2020,37395950.0,Asia
Bangladesh,2020,93614960.0,Asia
Barbados,2020,1233549.0,North America
Belarus,2020,59055548.0,Europe
Belgium,2020,91101384.0,Europe
Belize,2020,613332.0,North America
Benin,2020,7744662.0,Africa
Bermuda,2020,458000.0,North America
Bhutan,2020,919762.0,Asia
Bolivia,2020,18326306.0,South America
Bonaire Sint Eustatius and Saba,2020,113584.0,North America
Bosnia and Herzegovina,2020,20831812.0,Europe
Botswana,2020,5550960.0,Africa
Brazil,2020,444504320.0,South America
British Virgin Islands,2020,161216.0,North America
Brunei,2020,11101930.0,Asia
Bulgaria,2020,36533612.0,Europe
Burkina Faso,2020,5194114.0,Africa
Burundi,2020,735766.0,Africa
Cambodia,2020,19034220.0,Asia
Cameroon,2020,9701611.0,Africa
Canada,2020,522845280.0,North America
Cape Verde,2020,516623.97,Africa
Central African Republic,2020,238160.0,Africa
Chad,2020,2279219.0,Africa
Chile,2020,80178160.0,South America
China,2020,10914012000.0,Asia
Colombia,2020,89731320.0,South America
Comoros,2020,381056.0,Africa
Congo,2020,7391505.0,Africa
Cook Islands,2020,65952.0,Oceania
Costa Rica,2020,6763180.0,North America
Cote d'Ivoire,2020,11018607.0,Africa
Croatia,2020,16870528.0,Europe
Cuba,2020,21277102.0,North America
Curacao,2020,1806352.0,South America
Cyprus,2020,6910908.0,Asia
Czechia,2020,91697370.0,Europe
Democratic Republic of Congo,2020,3709719.0,Africa
Denmark,2020,28299676.0,Europe
Djibouti,2020,382454.0,Africa
Dominica,2020,157552.0,North America
Dominican Republic,2020,23501650.0,North America
East Timor,2020,646494.0,Asia
Ecuador,2020,32909420.0,South America
Egypt,2020,227637950.0,Africa
El Salvador,2020,6594499.0,North America
Equatorial Guinea,2020,5524802.0,Africa
Eritrea,2020,640911.0,Africa
Estonia,2020,9238881.0,Europe
Eswatini,2020,1091872.0,Africa
Ethiopia,2020,17810122.0,Africa
Faroe Islands,2020,758448.0,Europe
Fiji,2020,1040951.94,Oceania
Finland,2020,37735000.0,Europe
