Entity,Year,Total_CO2_emissions,Continent
France,2020,281539040.0,Europe
French Polynesia,2020,846384.0,Oceania
Gabon,2020,5928799.0,Africa
Gambia,2020,699824.0,Africa
Georgia,2020,10574546.0,Asia
Germany,2020,647252300.0,Europe
Ghana,2020,19168242.0,Africa
Greece,2020,55619772.0,Europe
Greenland,2020,537154.0,North America
Grenada,2020,289456.0,North America
Guatemala,2020,17336898.0,North America
Guinea,2020,4499392.0,Africa
Guinea-Bissau,2020,296784.0,Africa
Guyana,2020,3188380.0,South America
Haiti,2020,2512561.0,North America
Honduras,2020,9526111.0,North America
Hong Kong,2020,33497124.0,Asia
Hungary,2020,47335468.0,Europe
Iceland,2020,3339561.0,Europe
India,2020,2421552000.0,Asia
Indonesia,2020,605984600.0,Asia
Iran,2020,679007200.0,Asia
Iraq,2020,159840260.0,Asia
Ireland,2020,35123776.0,Europe
Israel,2020,55697504.0,Asia
Italy,2020,303281280.0,Europe
Jamaica,2020,6462606.0,North America
Japan,2020,1039795900.0,Asia
Jordan,2020,21128764.0,Asia
Kazakhstan,2020,255486480.0,Asia
Kenya,2020,21982360.0,Africa
Kiribati,2020,65952.0,Oceania
Kosovo,2020,8451382.0,Europe
Kuwait,2020,97712410.0,Asia
Kyrgyzstan,2020,8348849.5,Asia
Laos,2020,19674886.0,Asia
Latvia,2020,6999913.0,Europe
Lebanon,2020,22279648.0,Asia
Lesotho,2020,2172752.0,Africa
Liberia,2020,769421.0,Africa
Libya,2020,47068096.0,Africa
Liechtenstein,2020,141929.0,Europe
Lithuania,2020,13538674.0,Europe
Luxembourg,2020,8067690.0,Europe
Macao,2020,1033247.94,Asia
Madagascar,2020,3963948.0,Africa
Malawi,2020,1870757.0,Africa
Malaysia,2020,269248670.0,Asia
Maldives,2020,1648800.0,Asia
Mali,2020,6418546.0,Africa
Malta,2020,1597200.0,Europe
Marshall Islands,2020,146560.0,Oceania
Mauritania,2020,4118336.2,Africa
Mauritius,2020,3806896.0,Africa
Mexico,2020,442289100.0,North America
Micronesia (country),2020,146560.0,Oceania
Moldova,2020,5241230.0,Europe
Monaco,2020,,Europe
Mongolia,2020,37076764.0,Asia
Montenegro,2020,2407248.0,Europe
Montserrat,2020,21984.0,North America
Morocco,2020,64560784.0,Africa
Mozambique,2020,6376114.0,Africa
Myanmar,2020,34609780.0,Asia
Namibia,2020,3681840.0,Africa
Nauru,2020,51296.0,Oceania
Nepal,2020,14902414.0,Asia
Netherlands,2020,136684620.0,Europe
New Caledonia,2020,5109173.0,Oceania
New Zealand,2020,34237324.0,Oceania
Nicaragua,2020,4748407.0,North America
Niger,2020,2816703.0,Africa
Nigeria,2020,123822170.0,Africa
Niue,2020,7328.0,Oceania
North Korea,2020,49814344.0,Asia
North Macedonia,2020,6954272.0,Europe
Norway,2020,41231000.0,Europe
Oman,2020,65428856.0,Asia
Pakistan,2020,200602800.0,Asia
Palau,2020,212512.0,Oceania
Palestine,2020,3326912.0,Asia
Panama,2020,10324345.0,North America
Papua New Guinea,2020,7723852.0,Oceania
Paraguay,2020,7366268.0,South America
Peru,2020,46965196.0,South America
Philippines,2020,132851040.0,Asia
Poland,2020,302437100.0,Europe
Portugal,2020,41695200.0,Europe
Qatar,2020,102501230.0,Asia
Romania,2020,74026536.0,Europe
Russia,2020,1632929300.0,Europe
Rwanda,2020,1371813.0,Africa
Saint Helena,2020,18320.0,Africa
Saint Kitts and Nevis,2020,230832.0,North America
Saint Lucia,2020,483648.0,North America
Saint Pierre and Miquelon,2020,62288.0,North America
Saint Vincent and the Grenadines,2020,245488.0,North America
Samoa,2020,241824.0,Oceania
San Marino,2020,,Europe
Sao Tome and Principe,2020,139232.0,Africa
Saudi Arabia,2020,610772900.0,Asia
Senegal,2020,10820952.0,Africa
Serbia,2020,45169760.0,Europe
Seychelles,2020,608224.0,Africa
Sierra Leone,2020,1025920.06,Africa
Singapore,2020,54813440.0,Asia
Sint Maarten (Dutch part),2020,652192.0,North America
Slovakia,2020,31096626.0,Europe
Slovenia,2020,12854907.0,Europe
Solomon Islands,2020,289456.0,Oceania
Somalia,2020,597232.0,Africa
South Africa,2020,434828640.0,Africa
South Korea,2020,597634300.0,Asia
South Sudan,2020,1692768.0,Africa
Spain,2020,213625420.0,Europe
Sri Lanka,2020,20624664.0,Asia
Sudan,2020,20527464.0,Africa
Suriname,2020,2917944.0,South America
Sweden,2020,36686484.0,Europe
Switzerland,2020,34235224.0,Europe
Syria,2020,26312742.0,Asia
Taiwan,2020,271788800.0,Asia
Tajikistan,2020,9298944.0,Asia
Tanzania,2020,14168675.0,Africa
Thailand,2020,271852000.0,Asia
Togo,2020,2381218.0,Africa
Tonga,2020,183200.0,Oceania
Trinidad and Tobago,2020,35029664.0,North America
Tunisia,2020,28493462.0,Africa
Turkey,2020,412926880.0,Asia
Turkmenistan,2020,67697480.0,Asia
Turks and Caicos Islands,2020,359072.0,North America
Tuvalu,2020,10992.0,Oceania
Uganda,2020,5538408.0,Africa
Ukraine,2020,206823860.0,Europe
United Arab Emirates,2020,216768320.0,Asia
United Kingdom,2020,326263200.0,Europe
United States,2020,4714628000.0,North America
Uruguay,2020,6477168.0,South America
Uzbekistan,2020,109631970.0,Asia
Vanuatu,2020,201520.0,Oceania
Venezuela,2020,61956236.0,South America
Vietnam,2020,363342660.0,Asia
Wallis and Futuna,2020,25648.0,Oceania
Yemen,2020,10883986.0,Asia
Zambia,2020,8144346.0,Africa
Zimbabwe,2020,7849639.0,Africa
