Entity,Year,Total_CO2_emissions,Continent,Population
Moldova,2022,5422026.1902232,Europe,3272996.0
Mongolia,2022,37894404.438552,Asia,3398366.0
Montenegro,2022,2292497.976617,Europe,627082.0
Montserrat,2022,21268.569274,North America,4390.0
Morocco,2022,68411796.1025165,Africa,37457971.0
Mozambique,2022,8003214.41733996,Africa,32969517.0
Myanmar,2022,34922203.5663632,Asia,54179306.0
Namibia,2022,3952951.5334456,Africa,2567012.0
Nauru,2022,52826.0869888,Oceania,12668.0
Nepal,2022,15499949.00853,Asia,30547580.0
Netherlands,2022,125358188.091045,Europe,17564014.0
New Caledonia,2022,5115056.37165,Oceania,289950.0
New Zealand,2022,32211807.590352,Oceania,5185288.0
Nicaragua,2022,5550351.41867976,North America,6948392.0
Niger,2022,3058156.420176,Africa,26207977.0
Nigeria,2022,128759477.51664521,Africa,218541212.0
Niue,2022,7490.2868472,Oceania,1934.0
North Korea,2022,50871636.792364,Asia,26069416.0
North Macedonia,2022,7588396.3367899,Europe,2093599.0
Norway,2022,40807961.5554545,Europe,5434319.0
Oman,2022,71986361.953778,Asia,4576298.0
Pakistan,2022,200199896.6832683,Asia,235824862.0
Palau,2022,218897.393655,Oceania,18055.0
Palestine,2022,3496893.4067376,Asia,5250072.0
Panama,2022,11899897.532898,North America,4408581.0
Papua New Guinea,2022,7823135.20728747,Oceania,10142619.0
Paraguay,2022,9018047.7705024,South America,6780744.0
Peru,2022,60921110.8495852,South America,34049588.0
Philippines,2022,150395982.5363832,Asia,115559009.0
Poland,2022,323117330.80047,Europe,39857145.0
Portugal,2022,41605065.879025005,Europe,10270865.0
Qatar,2022,101340018.090306,Asia,2695122.0
Romania,2022,73521274.56345901,Europe,19659267.0
Russia,2022,1652177289.8932862,Europe,144713314.0
Rwanda,2022,1547759.59996411,Africa,13776698.0
Saint Kitts and Nevis,2022,224373.016217,North America,47657.0
Saint Lucia,2022,470311.7743542,North America,179857.0
Saint Pierre and Miquelon,2022,60339.254256,North America,5862.0
Saint Vincent and the Grenadines,2022,238713.72343,North America,103948.0
Samoa,2022,249482.026475,Oceania,222382.0
Sao Tome and Principe,2022,132247.436796,Africa,227380.0
Saudi Arabia,2022,662549319.9059,Asia,36408820.0
Senegal,2022,11668432.8752048,Africa,17316449.0
Serbia,2022,43506644.37188,Europe,7221365.0
Seychelles,2022,658723.4585514,Africa,107118.0
Sierra Leone,2022,1129487.32075146,Africa,8605718.0
Singapore,2022,53252430.207457,Asia,5975689.0
Sint Maarten,2022,634017.00495,North America,44175.0
Slovakia,2022,34151666.219414994,Europe,5643453.0
Slovenia,2022,12714806.5053104,Europe,2119844.0
Solomon Is.,2022,298633.42392499,Oceania,724273.0
Somalia,2022,646921.10718288,Africa,17597511.0
South Africa,2022,404053988.7753055,Africa,59893885.0
South Korea,2022,600999351.65884,Asia,51815810.0
S. Sudan,2022,1833603.6236863998,Africa,10913164.0
Spain,2022,245613810.013775,Europe,47558630.0
Sri Lanka,2022,17327089.0248072,Asia,21832143.0
Sudan,2022,22013349.6151244,Africa,46874204.0
Suriname,2022,3586485.19294,South America,618040.0
Sweden,2022,38050537.8032271,Europe,10549347.0
Switzerland,2022,35380166.783748806,Europe,8740472.0
Syria,2022,27635265.6978375,Asia,22125249.0
Taiwan,2022,277900911.685992,Asia,23893394.0
Tajikistan,2022,10017381.5829087,Asia,9952787.0
Tanzania,2022,15569997.58892888,Africa,65497748.0
Thailand,2022,270746397.077304,Asia,71697030.0
Togo,2022,2575559.8474835,Africa,8848699.0
Tonga,2022,188992.0721956,Oceania,106858.0
Trinidad and Tobago,2022,34331760.143352,North America,1531044.0
Tunisia,2022,35576782.336345,Africa,12356117.0
Turkey,2022,435684572.9300255,Asia,85341241.0
Turkmenistan,2022,70958273.71859999,Asia,6430770.0
Turks and Caicos Islands,2022,349024.350479,North America,45703.0
Tuvalu,2022,11316.9897232,Oceania,11312.0
Uganda,2022,6021781.4773145495,Africa,47249585.0
Ukraine,2022,141252971.0572365,Europe,39701739.0
United Arab Emirates,2022,243894989.092476,Asia,9441129.0
United Kingdom,2022,318654363.28294796,Europe,67508936.0
United States of America,2022,5057303458.844913,North America,338289857.0
Uruguay,2022,7893093.372451399,South America,3422794.0
Uzbekistan,2022,120610203.4261808,Asia,34627652.0
Vanuatu,2022,207906.45906999998,Oceania,326740.0
Venezuela,2022,76891989.18914561,South America,28301696.0
Vietnam,2022,343606611.0232944,Asia,98186856.0
Wallis and Futuna,2022,26406.234747199996,Oceania,11572.0
Yemen,2022,11356347.934812719,Asia,33696614.0
Zambia,2022,8921891.359519001,Africa,20017675.0
Zimbabwe,2022,8855980.351236,Africa,16320537.0
