Entity,Year,Total_CO2_emissions,Continent,Population
South Korea,2010,594339203.5487759,Asia,48813042.0
S. Sudan,2010,1313249.07544545,Africa,9714419.0
Spain,2010,282937064.829906,Europe,46572772.0
Sri Lanka,2010,13050987.73519905,Asia,20668557.0
Sudan,2010,15026002.57190209,Africa,33739933.0
Suriname,2010,2370034.43592,South America,546080.0
Sweden,2010,53120409.733376995,Europe,9381729.0
Switzerland,2010,45043280.5451255,Europe,7822435.0
Syria,2010,61721967.9570047,Asia,22337563.0
Taiwan,2010,270147968.276904,Asia,23083083.0
Tajikistan,2010,2536412.9623371,Asia,7621779.0
Tanzania,2010,6922991.231372369,Africa,45110527.0
Thailand,2010,241018980.2690082,Asia,68270489.0
Togo,2010,2595695.1642583,Africa,6571855.0
Tonga,2010,117228.35666349999,Oceania,107383.0
Trinidad and Tobago,2010,47111802.391448006,North America,1410296.0
Tunisia,2010,28137811.9630852,Africa,10895063.0
Turkey,2010,316193013.571733,Asia,73195345.0
Turkmenistan,2010,59184015.14727,Asia,5267970.0
Turks and Caicos Islands,2010,281890.91485,North America,29726.0
Tuvalu,2010,10971.201365,Oceania,10550.0
Uganda,2010,3569619.5857296,Africa,32341728.0
Ukraine,2010,294365775.560368,Europe,45683020.0
United Arab Emirates,2010,184842217.59048,Asia,8481771.0
United Kingdom,2010,511904517.46490395,Europe,62760039.0
United States of America,2010,5679715510.596901,North America,311182845.0
Uruguay,2010,6297955.9092953,South America,3352651.0
Uzbekistan,2010,107665916.3974716,Asia,28614227.0
Vanuatu,2010,120906.58382244,Oceania,245453.0
Venezuela,2010,189316687.0658868,South America,28715022.0
Vietnam,2010,139563830.788668,Asia,87411012.0
Wallis and Futuna,2010,29256.345853,Oceania,13142.0
Yemen,2010,25713403.9067016,Asia,24743946.0
Zambia,2010,3120298.0900938,Africa,13792086.0
Zimbabwe,2010,8754009.494410599,Africa,12839771.0
