Entity,Year,Total_CO2_emissions,Continent,Population
Afghanistan,2010,8364803.1226088,Asia,28189672.0
Albania,2010,4783860.0086598,Europe,2913399.0
Algeria,2010,118353246.9772248,Africa,35856344.0
Andorra,2010,516457.86609200004,Europe,71519.0
Angola,2010,22983309.0653855,Africa,23364185.0
Anguilla,2010,131704.022364,North America,13172.0
Antigua and Barbuda,2010,549503.813817,North America,85695.0
Argentina,2010,185854345.20477,South America,41100123.0
Armenia,2010,4252745.9024217995,Asia,2946293.0
Aruba,2010,2505851.313714,South America,100341.0
Australia,2010,405512220.175104,Oceania,22019168.0
Austria,2010,72017329.853571,Europe,8362829.0
Azerbaijan,2010,27549047.8717636,Asia,9237202.0
Bahamas,2010,2227682.070192,North America,373272.0
Bahrain,2010,29075196.1734,Asia,1213645.0
Bangladesh,2010,53991557.97446736,Asia,148391139.0
Barbados,2010,1845023.633085,North America,274711.0
Belarus,2010,62445126.807803996,Europe,9731427.0
Belgium,2010,114604099.354991,Europe,10877947.0
Belize,2010,538592.959441,North America,322106.0
Benin,2010,4679387.0705223,Africa,9445710.0
Bermuda,2010,608041.913514,North America,63447.0
Bhutan,2010,487763.14300559997,Asia,705516.0
Bolivia,2010,14718765.896659,South America,10223270.0
Bosnia and Herz.,2010,21145676.946656,Europe,3811088.0
Botswana,2010,4537271.015424,Africa,2091664.0
Brazil,2010,440268983.4945888,South America,196353492.0
British Virgin Islands,2010,212342.47149,North America,27556.0
Brunei,2010,8017158.695973,Asia,396053.0
Bulgaria,2010,47808415.5308136,Europe,7592273.0
Burkina Faso,2010,2036371.2630040501,Africa,16116845.0
Burundi,2010,296783.77849064994,Africa,9126605.0
Cambodia,2010,5078141.4192199195,Asia,14363532.0
Cameroon,2010,8383318.37583936,Africa,19878036.0
Canada,2010,556061989.250796,North America,33963412.0
Cape Verde,2010,556920.494726,Africa,521212.0
Central African Rep.,2010,168544.04503791002,Africa,4660067.0
Chad,2010,1236005.22886581,Africa,11894727.0
Chile,2010,71347503.17212139,South America,17004162.0
China,2010,8620626816.327488,Asia,1348191368.0
Colombia,2010,76266470.5857876,South America,44816108.0
Comoros,2010,161214.03401864,Africa,656024.0
Congo,2010,5499944.197651201,Africa,4437884.0
Cook Islands,2010,73173.71983999999,Oceania,17212.0
Costa Rica,2010,7492650.154091201,North America,4622252.0
Croatia,2010,21018179.076246,Europe,4368682.0
Cuba,2010,34199806.6508668,North America,11290417.0
Curacao,2010,4054414.7464599996,South America,159380.0
Cyprus,2010,8101072.634781,Asia,1129686.0
Czechia,2010,117490698.546967,Europe,10464749.0
Dem. Rep. Congo,2010,2736941.72680851,Africa,66391257.0
Denmark,2010,49189681.04085,Europe,5550849.0
Djibouti,2010,516620.07964709995,Africa,919199.0
Dominica,2010,172157.927166,North America,68755.0
Dominican Rep.,2010,20553452.546913,North America,9775755.0
Timor-Leste,2010,313132.27817340003,Asia,1088486.0
Ecuador,2010,36276419.0720555,South America,14989585.0
Egypt,2010,203607554.2474632,Africa,87252413.0
El Salvador,2010,6318623.639918201,North America,6114034.0
Eq. Guinea,2010,6402145.929881199,Africa,1094524.0
Eritrea,2010,497336.04997769,Africa,3147727.0
Estonia,2010,18975448.298745,Europe,1331535.0
eSwatini,2010,996602.5345439999,Africa,1099920.0
Ethiopia,2010,6336870.13096846,Africa,89237791.0
Faroe Islands,2010,629921.71543,Europe,48410.0
Fiji,2010,1091791.5849567,Oceania,905169.0
Finland,2010,64080903.598371,Europe,5363271.0
France,2010,376563887.2109869,Europe,62444567.0
French Polynesia,2010,923305.1945004001,Oceania,283788.0
Gabon,2010,5836028.17919,Africa,1711105.0
Gambia,2010,425022.03624475,Africa,1937275.0
Georgia,2010,6208037.8326058,Asia,3836831.0
Germany,2010,831129651.76087,Europe,81325090.0
Ghana,2010,8942511.998427419,Africa,25574719.0
Greece,2010,97354134.800674,Europe,11033783.0
Greenland,2010,679122.810905,North America,56351.0
Grenada,2010,260100.6529716,North America,114039.0
Guatemala,2010,11097678.2090238,North America,14543121.0
Guinea,2010,2484191.97103896,Africa,10270728.0
Guinea-Bissau,2010,238159.0923994,Africa,1567220.0
Guyana,2010,1886947.3961316,South America,747932.0
Haiti,2010,2136826.4504255997,North America,9842880.0
Honduras,2010,7996615.067386501,North America,8450933.0
Hong Kong,2010,40062908.5254628,Asia,7132438.0
Hungary,2010,52087424.285550006,Europe,9986825.0
Iceland,2010,3627270.8351399996,Europe,318333.0
India,2010,1677337279.923726,Asia,1240613620.0
Indonesia,2010,445806054.9092517,Asia,244016173.0
Iran,2010,552953016.946761,Asia,75373855.0
Iraq,2010,113536255.04505,Asia,31264875.0
Ireland,2010,41793261.350295,Europe,4524585.0
Israel,2010,68286956.172705,Asia,7328445.0
Italy,2010,436534288.35424995,Europe,59822450.0
Jamaica,2010,7677272.06928,North America,2733896.0
Japan,2010,1214707482.441652,Asia,128105431.0
Jordan,2010,20615311.434645,Asia,6931258.0
Kazakhstan,2010,248803206.30636102,Asia,16627837.0
Kenya,2010,12163160.15766365,Africa,41517895.0
Kiribati,2010,58615.3165223,Oceania,107995.0
Kuwait,2010,90869664.663648,Asia,2943356.0
Kyrgyzstan,2010,6355648.0022984,Asia,5483774.0
Laos,2010,3004509.58733016,Asia,6323418.0
Latvia,2010,8555238.26421,Europe,2101530.0
Lebanon,2010,19996598.735600002,Asia,4995800.0
Lesotho,2010,2275338.3407238,Africa,2022747.0
Liberia,2010,756899.58623624,Africa,4019956.0
Libya,2010,61085549.587500006,Africa,6491988.0
Liechtenstein,2010,190713.2141112,Europe,35926.0
Lithuania,2010,13803159.5939055,Europe,3139019.0
Luxembourg,2010,11197480.77384,Europe,507070.0
Macao,2010,1234745.7842278,Asia,557297.0
Madagascar,2010,1871843.1487398702,Africa,21731053.0
Malawi,2010,968497.77765428,Africa,14718422.0
Malaysia,2010,199346119.8752583,Asia,28717731.0
Maldives,2010,934309.6553699999,Asia,361575.0
Mali,2010,2088479.7979866401,Africa,15529181.0
Malta,2010,2602775.471295,Europe,418755.0
Marshall Islands,2010,135529.93829760002,Oceania,53416.0
Mauritania,2010,2093519.1764726,Africa,3419461.0
Mauritius,2010,3913100.3194099995,Africa,1283330.0
Mexico,2010,456597403.747475,North America,112532401.0
Micronesia,2010,102574.83708316,Oceania,107588.0
Moldova,2010,4830905.2163724005,Europe,3678186.0
Mongolia,2010,13772282.44428,Asia,2702520.0
Montenegro,2010,2421888.6897432,Europe,631044.0
Montserrat,2010,58363.97499,North America,4938.0
Morocco,2010,54365198.6814305,Africa,32464865.0
Mozambique,2010,2634547.07822742,Africa,23073723.0
Myanmar,2010,13121587.713138198,Asia,49390988.0
Namibia,2010,2839594.4527554,Africa,2099271.0
Nauru,2010,43878.025344999995,Oceania,10241.0
Nepal,2010,4824303.080783349,Asia,27161567.0
Netherlands,2010,182358906.33967602,Europe,16617116.0
New Caledonia,2010,3657499.014246,Oceania,261426.0
New Zealand,2010,34810325.217208005,Oceania,4346338.0
Nicaragua,2010,4467843.41306804,North America,5855734.0
Niger,2010,1159980.9190736578,Africa,16647543.0
Nigeria,2010,111426823.1770644,Africa,160952853.0
Niue,2010,3612.1696332,Oceania,1812.0
North Korea,2010,50091126.763612,Asia,24686435.0
North Macedonia,2010,8185511.3076044,Europe,2093828.0
Norway,2010,45620941.24812999,Europe,4889741.0
Oman,2010,51149048.308974,Asia,2881914.0
Pakistan,2010,153908654.50387138,Asia,194454498.0
Palau,2010,208589.23872000002,Oceania,18540.0
Palestine,2010,2033517.5012305998,Asia,3992278.0
Panama,2010,9072086.0717532,North America,3623617.0
Papua New Guinea,2010,4714717.0189478,Oceania,7583269.0
Paraguay,2010,5021788.57467741,South America,5768613.0
Peru,2010,42505094.086446404,South America,29229572.0
Philippines,2010,83063350.82892,Asia,94636700.0
Poland,2010,334224553.53613305,Europe,38597353.0
Portugal,2010,52933982.16856229,Europe,10588401.0
Qatar,2010,73421230.35936001,Asia,1713504.0
Romania,2010,86094077.559984,Europe,20335211.0
Russia,2010,1632783280.771473,Europe,143242599.0
Rwanda,2010,580976.957192627,Africa,10309031.0
Saint Kitts and Nevis,2010,219719.494017,North America,47403.0
Saint Lucia,2010,487269.22547199996,North America,170935.0
Saint Pierre and Miquelon,2010,65702.309444,North America,6052.0
Saint Vincent and the Grenadines,2010,219807.8288472,North America,109308.0
Samoa,2010,183186.8192128,Oceania,194672.0
Sao Tome and Principe,2010,102582.98663074001,Africa,182138.0
Saudi Arabia,2010,524604136.304689,Asia,29411929.0
Senegal,2010,6862387.15602246,Africa,12530121.0
Serbia,2010,45696421.5414484,Europe,7653748.0
Seychelles,2010,443272.0469637,Africa,92409.0
Sierra Leone,2010,542271.91710318,Africa,6436698.0
Singapore,2010,43048374.77971999,Asia,5163590.0
Sint Maarten,2010,448650.21391199995,North America,33034.0
Slovakia,2010,38408586.425748,Europe,5396424.0
Slovenia,2010,16459665.352977002,Europe,2057286.0
Solomon Is.,2010,329755.1196856,Oceania,540394.0
Somalia,2010,611887.9391610749,Africa,12026649.0
South Africa,2010,462999605.59029895,Africa,51784921.0
