Entity,Code,Year,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change,Annual_CO2_emissions,Continent
China,CHN,2000,4320913000.0,671712200.0,3649201000.0,Asia
Japan,JPN,2000,1267825700.0,4070850.5,1263754800.0,Asia
India,IND,2000,1168695300.0,191168880.0,977526400.0,Asia
South Korea,KOR,2000,434682500.0,-5298180.5,439980670.0,Asia
Iran,IRN,2000,370351970.0,6049594.0,364302370.0,Asia
Russia,RUS,2000,1461905700.0,-17236738.0,1479142400.0,Europe
Germany,DEU,2000,878691200.0,-20246824.0,898938050.0,Europe
United Kingdom,GBR,2000,569675260.0,641603.0,569033660.0,Europe
Italy,ITA,2000,435809730.0,-34714384.0,470524100.0,Europe
France,FRA,2000,386884600.0,-19622918.0,406507520.0,Europe
South Africa,ZAF,2000,435951400.0,57644504.0,378306880.0,Africa
Egypt,EGY,2000,146286240.0,2450190.0,143836050.0,Africa
Nigeria,NGA,2000,164472100.0,67625340.0,96846750.0,Africa
Algeria,DZA,2000,90487416.0,5088819.5,85398600.0,Africa
Libya,LBY,2000,52870380.0,-368158.72,53238540.0,Africa
United States,USA,2000,6147761000.0,137625580.0,6010135600.0,North America
Canada,CAN,2000,796565250.0,229469100.0,567096100.0,North America
Mexico,MEX,2000,518630080.0,126905096.0,391725000.0,North America
Cuba,CUB,2000,59357010.0,33581510.0,25775496.0,North America
Trinidad and Tobago,TTO,2000,23410868.0,-955424.7,24366292.0,North America
Brazil,BRA,2000,2299381200.0,1959198300.0,340183000.0,South America
Venezuela,VEN,2000,161461870.0,18626970.0,142834900.0,South America
Argentina,ARG,2000,189894340.0,47129116.0,142765220.0,South America
Chile,CHL,2000,79491160.0,20988564.0,58502596.0,South America
Colombia,COL,2000,70691090.0,14099732.0,56591360.0,South America
Australia,AUS,2000,556107500.0,206099860.0,350007680.0,Oceania
New Zealand,NZL,2000,43363364.0,11117858.0,32245506.0,Oceania
Papua New Guinea,PNG,2000,29028216.0,26090318.0,2937897.0,Oceania
New Caledonia,NCL,2000,,,2220454.0,Oceania
Fiji,FJI,2000,1512367.6,697515.6,814852.0,Oceania
