Entity,Code,Year,Annual CO₂ emissions including land-use change,Annual CO₂ emissions from land-use change,Annual_CO2_emissions,Continent
China,CHN,2015,10242954000.0,376002340.0,9866952000.0,Asia
India,IND,2015,2386867700.0,152648320.0,2234219500.0,Asia
Japan,JPN,2015,1218841900.0,-4326744.0,1223168600.0,Asia
Saudi Arabia,SAU,2015,680356200.0,1506966.5,678849300.0,Asia
South Korea,KOR,2015,629238100.0,-4939182.0,634177300.0,Asia
Russia,RUS,2015,2040581800.0,401906460.0,1638675300.0,Europe
Germany,DEU,2015,790941100.0,-7143590.5,798084740.0,Europe
United Kingdom,GBR,2015,442195400.0,19734596.0,422460800.0,Europe
Italy,ITA,2015,318795940.0,-43139972.0,361935900.0,Europe
France,FRA,2015,317056300.0,-14358153.0,331414430.0,Europe
South Africa,ZAF,2015,447331900.0,1110888.1,446221020.0,Africa
Egypt,EGY,2015,224994430.0,514682.06,224479740.0,Africa
Algeria,DZA,2015,162137200.0,2049751.5,160087460.0,Africa
Nigeria,NGA,2015,111109100.0,1891943.0,109217160.0,Africa
Morocco,MAR,2015,54958760.0,-3536419.5,58495180.0,Africa
United States,USA,2015,5402494000.0,26020886.0,5376473000.0,North America
Canada,CAN,2015,718217860.0,147537440.0,570680400.0,North America
Mexico,MEX,2015,712459700.0,232939940.0,479519780.0,North America
Trinidad and Tobago,TTO,2015,45194050.0,-365630.56,45559680.0,North America
Cuba,CUB,2015,18056790.0,-11411858.0,29468648.0,North America
Brazil,BRA,2015,1855354100.0,1326001000.0,529353020.0,South America
Argentina,ARG,2015,285343400.0,93599560.0,191743840.0,South America
Venezuela,VEN,2015,176788020.0,10934915.0,165853100.0,South America
Colombia,COL,2015,174430620.0,77656390.0,96774220.0,South America
Chile,CHL,2015,119114430.0,37332276.0,81782160.0,South America
Australia,AUS,2015,437515230.0,36136860.0,401378370.0,Oceania
New Zealand,NZL,2015,34934280.0,-877857.75,35812136.0,Oceania
Papua New Guinea,PNG,2015,38898290.0,32259726.0,6638563.0,Oceania
New Caledonia,NCL,2015,,,4876909.0,Oceania
Fiji,FJI,2015,2001522.2,681577.3,1319945.0,Oceania
