Entity,Year,Annual_CO2_emissions_per_capita,Continent,Population
Qatar,2020,37.13288,Asia,2760385.0
Bahrain,2020,25.310665,Asia,1477469.0
Brunei,2020,25.1325,Asia,441725.0
United Arab Emirates,2020,23.34033,Asia,9287289.0
Kuwait,2020,22.408785,Asia,4360444.0
Others,2020,4.31790363664798,Asia,4645996760.0
Total Emissions,2020,4.400733107863013,Asia,4664324072.0
Faroe Islands,2020,14.463158,Europe,52415.0
Luxembourg,2020,12.797711,Europe,630399.0
Russia,2020,11.21384,Europe,145617329.0
Iceland,2020,9.107512,Europe,366669.0
Czech Republic,2020,8.707416,Europe,10530953.0
Others,2020,5.582717840445225,Europe,586997577.0
Total Emissions,2020,6.737255089749829,Europe,744195342.0
South Africa,2020,7.3948026,Africa,58801927.0
Libya,2020,7.073712,Africa,6653942.0
Seychelles,2020,5.762698,Africa,105530.0
Algeria,2020,3.9099252,Africa,43451666.0
Equatorial Guinea,2020,3.4615319,Africa,1596049.0
Others,2020,0.5628447017789753,Africa,1221431449.0
Total Emissions,2020,1.0100282566364815,Africa,1332040563.0
Trinidad and Tobago,2020,23.074036,North America,1518147.0
Sint Maarten,2020,14.945506,North America,43621.0
United States,2020,14.034053,North America,335942003.0
Canada,2020,13.799503,North America,37888705.0
Saint Pierre and Miquelon,2020,10.503879,North America,5906.0
Others,2020,2.60890560739883,North America,214293755.0
Total Emissions,2020,9.890396596469653,North America,589692137.0
Curacao,2020,9.542373,South America,189288.0
Aruba,2020,8.352506,South America,106585.0
Suriname,2020,4.806618,South America,607065.0
Chile,2020,4.15424,South America,19300315.0
Guyana,2020,3.999438,South America,797202.0
Others,2020,2.131669325970486,South America,410530745.0
Total Emissions,2020,2.2341298500571716,South America,431531200.0
New Caledonia,2020,17.838543,Oceania,286403.0
Australia,2020,15.453229,Oceania,25670051.0
Palau,2020,11.806878,Oceania,17972.0
New Zealand,2020,6.764759,Oceania,5061133.0
Nauru,2020,4.157225,Oceania,12315.0
Others,2020,0.8713847143867111,Oceania,12618718.0
Total Emissions,2020,10.243315558152615,Oceania,43666592.0
